price,time_posted,d,description,location
"USD 1,000.00","Posted: 15 hour(s), 01 min(s) ago",," 4 bd1.5 ba1,471 sqft 1161 N Highland St, Mount Dora, FL 32757... More Houses for Rent AdsBeautiful Location! This home is located in Mount Dora Florida about 30 min from Orlando, 10 min from Eustis and Tavares. Four bedrooms, 1.5 Bath Home. Family room, nice kitchen with granite counters, stainless steel appliances. Large fenced yard wit...","Location: Mount Dora, United States"
"USD 1,400.00","Posted: 15 hour(s), 05 min(s) ago",," 4 bd2 ba2,319 sqft 2829 NW 7th Ter, Cape Coral, FL 33993... More Houses for Rent AdsBELOW MARKET RENT! Lowest priced for single family home in the area. This will not last! Hurry and get your application in today. You must complete an application ONCE WE HAVE AN APPROVED APPLICATION WE WOULD THEN SCHEDULE A TIME FOR VIEWING.Applicat...","Location: Cape Coral, United States"
"USD 1,200.00","Posted: 15 hour(s), 26 min(s) ago",," 2 bd2 ba1,203 sqft 101 N Arcturas Ave, Clearwater, FL 33765... More Houses for Rent AdsFully updated 2 bedroom, 2 bath single family home with an extra BONUS room! Freshly painted in and out! Samsung stainless steel appliances with granite counters. The house is centrally located, and minutes from Clearwater beach! It has a new remodel...","Location: Clearwater, United States"
USD 750.00,"Posted: 18 hour(s), 47 min(s) ago",," 2bed 1bath house available for rent in 661 8th St, Freedom, Rent $750... More Houses for Rent Ads2BR / 1BA house in Freedom Borough, PA 15042. House is located on a nice quiet dead-end street in Freedom, close to route 51 and 65 and less than 20mins from the Cracker Plant... with decent neighbors. Tenant pays all utilities: Electric, Water-Sewag...","Location: Freedom, United States"
"USD 1,000.00","Posted: 19 hour(s), 03 min(s) ago",," 4bed 2bath house available for rent in 5947 Heckert Rd, Bakerstown, Rent $1000... More Houses for Rent AdsNew carpeting and appliance in this large home with nice private back yard. Walking distance to the park and conveniently located only minutes from shopping and restaurants. Large rooms with unique characteristics and charm offer a great home setting...","Location: Bakerstown, United States"
"USD 1,600.00","Posted: 20 hour(s), 07 min(s) ago",," 3 bd2 ba1,238 sqft 1793 Via Natal, San Lorenzo, CA 94580... More Houses for Rent AdsThis roomy home boasts 3 bedrooms, 2 bathrooms, and 1,238 sq ft of living space. This beautiful dwelling features a convenient floor plan, lots of natural light, high ceilings, and fireplace in the living room, and ceiling fans throughout. Enjoy your...","Location: San Lorenzo, United States"
USD 850.00,"Posted: 20 hour(s), 10 min(s) ago",," 2 bd1 ba840 sqft 508 S Oak Park St, Visalia, CA 93277... More Houses for Rent AdsWelcome to your new home in Visalia, CA! This cozy 2-bedroom, 1 bathroom house is now available for you to make your own. It has been updated with modern touches you will find desirable! Located conveniently close to Hwy 198, you'll have easy access ...","Location: Visalia, United States"
USD 850.00,"Posted: 20 hour(s), 13 min(s) ago",," 3 bd1 ba816 sqft 1848 E 22nd St, Merced, CA 95340... More Houses for Rent AdsWelcome to this charming 3-bedroom, 1-bathroom home located in Merced. This freshly painted and updated house is perfect for those seeking a comfortable and inviting living space. Situated on a large lot, this property offers plenty of room for outdo...","Location: Merced, United States"
"USD 1,200.00","Posted: 20 hour(s), 18 min(s) ago",," 2 bd2 ba1,424 sqft 2321 Oak Knoll Way, Oroville, CA 95966... More Houses for Rent Ads2 Bed 2 Bath Home located on a large amount of property. Hardwood Floors throughout. Comes with Refrigerator, Electric stove and microwave, as well as Washer and Dryer. There is a shed on the property as well for tenant access for storage. Home has c...","Location: Oroville, United States"
"USD 1,050.00","Posted: 20 hour(s), 21 min(s) ago",," 2 bd2 ba1,235 sqft 26419 Chestnut Dr, Hemet, CA 92544... More Houses for Rent AdsSTOP AND LOOK at this darling 2 bedroom, 2 bath Hemet home located in a quiet neighborhood off Columbia and Whittier. The home features: 1235 Sq ft of living space, attached 2 Car Garage. Enclosed bonus room Has a great view of the mountains from a s...","Location: Hemet, United States"
"USD 1,000.00","Posted: 20 hour(s), 24 min(s) ago",," 4 bd2 ba1,775 sqft 1131 N Mono Ct, Ridgecrest, CA 93555... More Houses for Rent AdsBELOW MARKET RENT! Lowest priced for single family home in the area. This will not last! Hurry and get your application in today. You must complete an application ONCE WE HAVE AN APPROVED APPLICATION WE WOULD THEN SCHEDULE A TIME FOR VIEWING.Applicat...","Location: Ridgecrest, United States"
"USD 1,200.00","Posted: 20 hour(s), 26 min(s) ago",," 3 bd2 ba1,700 sqft 21621 Jane Ct, Tehachapi, CA 93561... More Houses for Rent AdsLocated on a quiet cul-de-sac with friendly neighbors, this 3 bedroom 2 bath is a gardeners delight with 4 apple trees, apricot tree, pear tree and producing red grape vines. It has a detached Garage workshop and 3 non fruiting mulberry trees that sh...","Location: Tehachapi, United States"
USD 575.00,"Posted: 20 hour(s), 26 min(s) ago",," 924 E 7th St, Newton, KS 67114... More Houses for Rent AdsThis 881 square foot single family home has 2 bedrooms and 1.0 bathrooms. This home is located at 924 E 7th St, Newton, KS 67114. Very clean and well kept. Hardwood floors. with laundry - washer/dryer included. pets are allowed Text or call to ...","Location: Newton, United States"
"USD 1,050.00","Posted: 20 hour(s), 30 min(s) ago",," 1 bd1 ba2,396 sqft 4382 McClintock St, San Diego, CA 92105... More Houses for Rent AdsBELOW MARKET RENT! Lowest priced for single family home in the area. This will not last! Hurry and get your application in today. You must complete an application ONCE WE HAVE AN APPROVED APPLICATION WE WOULD THEN SCHEDULE A TIME FOR VIEWING.Applicat...","Location: San Diego, United States"
USD 850.00,"Posted: 20 hour(s), 34 min(s) ago",," 3 bd1.5 ba1,078 sqft 1912 Lacey St, Bakersfield, CA 93304... More Houses for Rent AdsCharming 3 bed 2 bath located right in Central Bakersfield! Kitchen features a Stove and dishwasher. Owner pays for gardening, trash and sewer, tenant is responsible for other utilities. Washer and Dryer hookups, attached garage and huge back yard pe...","Location: Bakersfield, United States"
"USD 1,000.00","Posted: 20 hour(s), 37 min(s) ago",," 3 bd1 ba1,000 sqft 6 Graeagle Way, Sacramento, CA 95823... More Houses for Rent AdsBuilt in 1983, two car garage and RV parking access. New laminate recently installed and new paint. New gas range in the kitchen. Indoor laundry hookups. Bathroom updated with new shower surrounding. Covered patio in large backyard.","Location: Sacramento, United States"
"USD 1,500.00","Posted: 20 hour(s), 40 min(s) ago",," 3 bd2 ba1,791 sqft 1168 Monte Vista Dr, Riverside, CA 92507... More Houses for Rent AdsBeautiful single story located very close to UCR. This home offers a very open floor plan which consists of 2 spare bedrooms, a hall full bathroom, a large master bathroom, a large living room, large family room, kitchen, kitchen dining nook, a two c...","Location: Riverside, United States"
"USD 1,000.00","Posted: 20 hour(s), 44 min(s) ago",," 4 bd2 ba1,705 sqft 575 Santa Clara St, Merced, CA 95341... More Houses for Rent AdsThis 1705 square foot single family home has 4 bedrooms and 2.0 bathrooms. This home is located at 575 Santa Clara St, Merced, CA 95341. This 1705 square foot single family home has 4 bedrooms and 2.0 bathrooms. This home is located at 575 Santa C...","Location: Merced, United States"
"USD 1,400.00","Posted: 20 hour(s), 47 min(s) ago",," 2 bd1 ba921 sqft 24548 Copper Cliff Ct, Lake Forest, CA 92630... More Houses for Rent AdsYou won't want to miss out on this lovely two bedroom, one bathroom upper unit condo in Serrano Woods. This home has been freshly painted and features a large living area, a kitchen with upgraded cabinets, granite composite countertops, and newer app...","Location: Lake Forest, United States"
"USD 1,200.00","Posted: 20 hour(s), 51 min(s) ago",," 3 bd2 ba1,000 sqft 218 W Alameda St, Manteca, CA 95336... More Houses for Rent AdsCome and tour this clean & cozy 3 bedroom 2 bathroom town home. Freshly painted, features updated appliances, central heat & air, two car garage, small backyard, and more. Close to downtown, shopping, schools. Water, sewer, trash is paid. Renter' Ins...","Location: Manteca, United States"
"USD 1,300.00","Posted: 20 hour(s), 55 min(s) ago",," 3 bd2 ba2,165 sqft 55675 Desert Gold Dr, Yucca Valley, CA 92284... More Houses for Rent AdsYou have to see this home for yourself to believe what you are going to read! This 3 bedroom, 2 bath home is located in the highly sought after and quiet neighborhood of Juniper Terrace and has great views from the front covered patio. It has a separ...","Location: Yucca Valley, United States"
"USD 1,000.00","Posted: 20 hour(s), 59 min(s) ago",," 3 bd1.5 ba1,700 sqft 2257 4th St, Atwater, CA 95301... More Houses for Rent AdsThis super cute 3 bedroom 1.5 home built in 1954 features 1,700 square feet and is conveniently located in the heart of Atwater. Situated close to shopping, restaurants, fitness centers and parks in a nice quiet neighborhood.","Location: Atwater, United States"
"USD 2,000.00","Posted: 21 hour(s), 01 min(s) ago",," 3 bd2 ba1,350 sqft 4643 Pimenta Ave, Lakewood, CA 90712... More Houses for Rent AdsWelcome to this beautifully upgraded home with classic original features. The charm of this property begins with its stunning curb appeal, boasting a manicured lawn and well-maintained exterior. Step inside to see the perfect combination of modern up...","Location: Lakewood, United States"
USD 900.00,"Posted: 21 hour(s), 04 min(s) ago",," 3 bd2 ba1,270 sqft 6185 Chia Ave, Twentynine Palms, CA 92277... More Houses for Rent AdsThis one won't last! This newly remodeled home is in the heart of 29 Palms with just a short drive to anything you need (i.e grocery shopping, restaurants, USMC Military Base and the all-famous Joshua Tree National Park) Fresh paint and new flooring ...","Location: Twentynine Palms, United States"
USD 850.00,"Posted: 21 hour(s), 08 min(s) ago",," 2 bd1 ba-- sqft 12450 Adams St, Yucaipa, CA 92399... More Houses for Rent AdsADORABLE 2 BEDROOM, 1 BATH HOME, WITH SINGLE CAR GARAGE, WASHER DRYER HOOK UPS, NEW PAINT INSIDE AND OUT, INCLUDES WATER, GARDENER, TRASH AND SEWER. ADORABLE 2 BEDROOM, 1 BATH HOME, WITH SINGLE CAR GARAGE, WASHER DRYER HOOK UPS, NEW PAINT INSIDE A...","Location: Yucaipa, United States"
"USD 1,500.00","Posted: 21 hour(s), 12 min(s) ago",," 4 bd2 ba1,678 sqft 506 Trumpeter Dr, Suisun City, CA 94585... More Houses for Rent AdsCompletely remodeled 4bd, 2 bath & 2 car garage house with all brand new hardwood floor, roof, cabinets, appliances. Freshly painted inside & outside the house. House is located in quite & safe neighborhood. 2 storage sheds in the backyard.","Location: Suisun City, United States"
"USD 1,400.00","Posted: 21 hour(s), 24 min(s) ago",," 2 bd1 ba858 sqft 5411 Lowell St, Sacramento, CA 95820... More Houses for Rent AdsBELOW MARKET RENT! Lowest priced for single family home in the area. This will not last! Hurry and get your application in today. You must complete an application ONCE WE HAVE AN APPROVED APPLICATION WE WOULD THEN SCHEDULE A TIME FOR VIEWING.Applicat...","Location: Sacramento, United States"
