Token,Submitted At,Respondent gender,Age Group,Institution category,Please rate your satisfaction with the quality of the lectures you receive,I think the course is designed in a way that meets the current tech industry needs,How many separate industrial trainings are you expected to complete in your department?,What programming languages were you exposed to in the school curriculum?
yylxpn98csti9eh16uwryylxpn4xlo7k,2023-01-27T19:00:21Z,Female,20 to 24,University,3,3.0,1.0,
dwf1gjycsx3wdtwfm2edwf1gj2fksdk9,2023-01-27T17:45:04Z,Male,20 to 24,Polytechnic,3,5.0,1.0,"C++, Python"
u5qqw9oz6dizqq36zbz6vbu5qqw90axc,2023-01-13T08:21:58Z,Female,Below 20,University,3,2.0,0.0,
yfy5i2emxyr4yc5gs5oyfy5dk7cpm0dp,2023-02-10T12:26:32Z,Male,20 to 24,University,2,1.0,3.0,
x5daqvrahuyh77vu8i9v4rx5daqv691w,2023-01-24T07:35:17Z,Female,20 to 24,University,5,4.0,1.0,"Java, BASIC, C++, JavaScript"
shhal0ii7uzjl6dkh62hb6shhal056tu,2023-01-26T10:10:46Z,Female,25 to 29,University,3,3.0,,
ej0c4ab9vznugyf00ej09fz7bhp76jcn,2023-01-25T17:02:56Z,Male,25 to 29,University,2,3.0,,
0kvsxinu5gk7jq2qnuq0kvsxi3fyy4dm,2023-02-09T14:49:10Z,Male,20 to 24,University,3,1.0,1.0,C++
fktqnvocqz09kfktqnjgwkn04cqz2uqt,2023-01-26T08:41:14Z,Female,Below 20,University,4,3.0,1.0,"Java, JavaScript, C#, C++, C"
y76vcgq8qymjbltky76tqglxpkjdyuyn,2023-01-26T10:08:11Z,Male,20 to 24,University,1,,,
jea933uje6a7quy0mjea933tyyn9puiz,2023-01-25T20:33:07Z,Female,20 to 24,University,1,1.0,1.0,"FORTRAN, BASIC, Java, JavaScript, Python, Ruby on Rails"
3730c30hbbua5zx53730c3vhflgecg7z,2023-01-21T22:37:43Z,Male,20 to 24,University,4,3.0,1.0,"C#, C"
5exr1776mbbl05exrbn0uczwxgh157pk,2023-01-25T17:27:23Z,Male,20 to 24,University,3,3.0,1.0,
35hyt45wtq7w4nhix35hytgt8odt9u49,2023-01-26T17:40:44Z,Male,20 to 24,University,4,4.0,1.0,"Java, C++, JavaScript"
32dfgtgp3scjf3b28l32dfpi5kd4j2wk,2023-02-09T21:01:59Z,Female,20 to 24,Polytechnic,3,4.0,3.0,
h8n3eeu4kftqvid1zh8n3ee7vw1ouzmx,2023-01-24T18:26:51Z,Female,20 to 24,University,3,3.0,1.0,
7p4l4vef4kq2wzqlidu7p4l4ve5ivdz8,2023-01-14T01:00:45Z,Male,25 to 29,Polytechnic,3,3.0,,
9w7ilwduxwwsve93x9w7iatoegc6pppr,2023-02-09T12:31:21Z,Female,25 to 29,University,2,1.0,,
k1zmnxi19rtj0rl9hk1zmnzazkait0px,2023-01-13T08:40:33Z,Male,20 to 24,University,2,2.0,2.0,
hla1vjhv78ir5ic83v3jhla1vjap9k1q,2023-01-23T12:46:40Z,Female,20 to 24,University,3,3.0,2.0,"C++, MatLab"
xgu7iq4ms1b38opft2yrsn23xgu7iq4m,2023-01-24T19:21:13Z,Male,20 to 24,University,4,,1.0,Python
zjpjb6q8nh8wrbzzjpk0d7t4pj5osyeu,2023-01-25T10:33:41Z,Male,20 to 24,University,3,3.0,1.0,"C#, C++"
pvuetaf33vpxo61o4ppvuethch8r3ac4,2023-01-25T13:50:43Z,Male,20 to 24,University,2,1.0,1.0,
cqp5pi0zmhcq9u7o0pu6mt4hvzdy6ls0,2023-01-24T17:24:54Z,Male,20 to 24,University,3,3.0,1.0,
d31u97rj20s0zwaokqr5esd31u97shug,2023-02-08T13:32:39Z,Female,20 to 24,Polytechnic,3,3.0,1.0,"FORTRAN, Python"
4jtucb46kbqdia4jtuua83v13wi7w2fa,2023-01-25T15:03:56Z,Female,20 to 24,University,3,3.0,1.0,Python
0an0v1f7fthrnnuak880an078zv4ziji,2023-01-24T20:14:57Z,Female,20 to 24,University,4,4.0,1.0,"FORTRAN, Python, Java, BASIC, SQL, C#, C++"
p3zdgujl4jzwaece0p3zdglfacl11ra1,2023-01-06T10:42:58Z,Male,25 to 29,University,1,1.0,1.0,"C++, Java, MatLab, Visual Basic"
cj7mj7361vu8zsrwcj7djoau8ckhp24b,2023-01-12T17:55:06Z,Male,20 to 24,Polytechnic,2,1.0,1.0,"BASIC, Java, C"
3izytio1cszn17tge3izytc4gv49mrwo,2023-01-25T14:29:36Z,Male,20 to 24,Polytechnic,3,3.0,3.0,"Java, SQL, BASIC, C, C++, Python, MatLab"
tkwevwsgn45ew3jum9tkwbiatgfq7ozv,2023-01-25T11:30:19Z,Male,20 to 24,University,1,1.0,1.0,"Java, C, Visual Basic, MatLab"
4gn323j4nk5bmkd05mplzo84gn323raz,2023-01-24T17:39:53Z,Male,20 to 24,University,3,4.0,5.0,"Java, JavaScript, SQL, BASIC, C#"
2xa5fcugsbaf2xa5fjcszgin9ewcct81,2023-01-26T15:21:38Z,Male,20 to 24,University,2,,2.0,
er2hxo8hyy3mrb63q4er2hx6gw4rbyph,2023-01-24T11:03:29Z,Female,Below 20,Polytechnic,3,3.0,2.0,
xwvkx1ixnbggy6mdwxwvkbd63kipmzp3,2023-02-08T11:13:37Z,Male,25 to 29,University,3,4.0,,Java
8vnmblr86599g3sclm2y8vnmblrj3bt3,2023-01-26T10:35:13Z,Female,25 to 29,University,3,,,
idtfa5ia6deboamqnioidt3arkvf2fgz,2023-01-24T18:50:53Z,Male,20 to 24,University,1,1.0,1.0,
ccxmjz59dsma6zuomccxmc0b23f1unpe,2023-02-10T08:20:30Z,Male,20 to 24,Polytechnic,1,3.0,,"Python, C++"
9r9xx7ujcwi0lwkxo8w9r9xx7u0z958y,2023-01-23T19:45:39Z,Female,Below 20,University,3,2.0,,"SQL, R"
rd0tfawd07nhhsdrd0ty5h9nv35ksyjv,2023-02-09T11:53:20Z,Female,20 to 24,University,3,1.0,2.0,
49xsm4r4kkz5i2v5v449xsm4rjhq3wos,2023-01-26T17:39:44Z,Male,25 to 29,University,3,,,
olmyz4oeqfe0z6w37oxigolmykhm5h7t,2023-01-27T19:29:36Z,Male,20 to 24,Polytechnic,3,1.0,1.0,"C, C++, Python"
i8aafitn3mb6qx1t7pp9z4oi8aafioxu,2023-01-27T05:34:29Z,Female,20 to 24,College of Education,4,,,
eh8hkgnte5ymuwa5eh8hk43mlzsnq4nl,2023-02-09T19:03:42Z,Female,20 to 24,College of Education,3,2.0,1.0,"FORTRAN, BASIC"
yq1xtb0f616rcm33oyw67yq1xtb0a223,2023-02-10T07:56:38Z,Male,20 to 24,Polytechnic,1,3.0,1.0,
pbnbi6ub18o4f5594s1pbnbi69egrkk2,2023-01-26T17:35:47Z,Female,20 to 24,University,3,3.0,1.0,
kfjncjif62srjzkfjnlhqljuyj547m4r,2023-02-09T12:40:42Z,Female,20 to 24,University,2,1.0,2.0,
izv2w6z92q8o9izv2f9dxdz6h1glkt95,2023-01-21T19:01:08Z,Male,20 to 24,University,3,3.0,1.0,MatLab
kfxf39exm6qlkfxf3ot4y04cnb9j0ua7,2023-02-10T02:42:21Z,Male,Below 20,Polytechnic,2,4.0,1.0,Python
6d7vn8q2yd7me76x6d7vyy8wzejdnby6,2023-01-21T23:09:37Z,Male,20 to 24,University,3,2.0,1.0,"Python, C++, C#, Java"
xm3bf9mat7lsjvu0memlxm3bf9massui,2023-01-08T13:17:57Z,Male,20 to 24,University,3,3.0,3.0,"C++, MatLab"
kmunw7o3p2gixzhlyeokmunw7ty072jv,2023-01-24T20:22:29Z,Female,20 to 24,University,4,1.0,2.0,"FORTRAN, BASIC, JavaScript, C++"
dwfo491n9xlnrvdwfo4ji0gmat5y65oc,2023-01-25T10:27:26Z,Male,20 to 24,University,2,2.0,,"Python, C, Java, JavaScript"
hocvy89exl9mm2z8qyaukehocvy89osk,2023-02-09T19:05:53Z,Male,20 to 24,University,3,4.0,2.0,"MatLab, Python"
